Identity                           , Count, F1                 , Precision          , Recall             , False_Positive_Rate
male                               ,   466, 0.31932773109243695, 0.3584905660377358 , 0.2878787878787879 , 0.085
female                             ,   434, 0.26356589147286824, 0.25               , 0.2786885245901639 , 0.13672922252010725
transgender                        ,    36, 0.4444444444444444 , 0.4                , 0.5                , 0.09375
other_gender                       ,    16, 0.5                , 1.0                , 0.3333333333333333 , 0.0
heterosexual                       ,    22, 0.2857142857142857 , 0.25               , 0.3333333333333333 , 0.15789473684210525
homosexual_gay_or_lesbian          ,    93, 0.5306122448979592 , 0.5652173913043478 , 0.5                , 0.14925373134328357
bisexual                           ,    13, 0.5                , 0.3333333333333333 , 1.0                , 0.16666666666666666
other_sexual_orientation           ,    22, 0.2222222222222222 , 0.3333333333333333 , 0.16666666666666666, 0.125
christian                          ,   323, 0.3466666666666667 , 0.28888888888888886, 0.43333333333333335, 0.10921501706484642
jewish                             ,    76, 0.4                , 0.3333333333333333 , 0.5                , 0.15151515151515152
muslim                             ,   186, 0.34               , 0.25               , 0.53125            , 0.33116883116883117
hindu                              ,     6, 0.0                , 0.0                , 0.0                , 0.0
buddhist                           ,     7, 0.0                , 0.0                , 0.0                , 0.14285714285714285
atheist                            ,     7, 0.0                , 0.0                , 0.0                , 0.14285714285714285
other_religion                     ,   104, 0.5263157894736842 , 0.43478260869565216, 0.6666666666666666 , 0.14606741573033707
black                              ,   108, 0.36               , 0.42857142857142855, 0.3103448275862069 , 0.1518987341772152
white                              ,   172, 0.20512820512820512, 0.26666666666666666, 0.16666666666666666, 0.1774193548387097
asian                              ,    61, 0.23076923076923078, 0.2                , 0.2727272727272727 , 0.24
latino                             ,    41, 0.0                , 0.0                , 0.0                , 0.14705882352941177
other_race_or_ethnicity            ,   109, 0.35               , 0.2916666666666667 , 0.4375             , 0.1827956989247312
physical_disability                ,    22, 0.0                , 0.0                , 0.0                , 0.1
intellectual_or_learning_disability,    11, 0.5                , 1.0                , 0.3333333333333333 , 0.0
psychiatric_or_mental_illness      ,    57, 0.2857142857142857 , 0.5                , 0.2                , 0.0425531914893617
other_disability                   ,    16, 0.5714285714285714 , 0.5                , 0.6666666666666666 , 0.15384615384615385
